date,pm2_5,air_temperature,air_humidity,is_primary_outlier,T,P0,P,U,DD,Ff,VV
2024-05-31 09:00:00,1.4666666666666666,10.498499774999999,48.818999250000005,False,11.0,757.4,768.9,50.0,0.0,3.0,10.0
2024-05-31 10:00:00,1.25,11.393666458333334,43.969166066666666,False,11.0,757.4,768.9,44.0,0.0,4.0,10.0
2024-05-31 11:00:00,1.3833333333333333,13.017666416666666,38.877499416666666,False,12.0,758.2,769.6,41.0,4.0,4.0,10.0
2024-05-31 12:00:00,1.775,13.94733305,36.22858260833333,False,14.0,758.2,769.6,39.0,0.0,4.0,10.0
2024-05-31 13:00:00,2.125,13.913083050000001,35.6548328,False,14.0,758.2,769.6,36.0,0.0,5.0,10.0
2024-05-31 14:00:00,2.683333333333333,14.101666349999999,36.70874956666667,False,14.0,758.2,769.6,36.0,0.0,4.0,10.0
2024-05-31 15:00:00,1.9666666666666666,14.4602497,36.954249350000005,False,13.0,758.2,769.6,36.0,0.0,3.0,10.0
2024-05-31 16:00:00,1.7583333333333333,15.673332933333334,36.3595829,False,13.0,757.5,768.9,38.0,4.0,3.0,10.0
2024-05-31 17:00:00,4.033333333333333,15.503999691666667,39.1866664,False,13.0,757.5,768.9,38.0,10.0,3.0,10.0
2024-05-31 18:00:00,2.6166666666666667,15.907833049999999,36.54066636666666,False,12.0,757.5,768.9,54.0,10.0,3.0,10.0
2024-05-31 19:00:00,4.516666666666667,13.533333041666667,43.42233265,False,11.0,757.4,768.9,54.0,14.0,1.0,10.0
2024-05-31 20:00:00,15.016666666666667,11.32999965,55.428665900000006,False,10.0,757.4,768.9,62.0,7.0,0.0,10.0
2024-05-31 21:00:00,49.7,9.549499866666668,68.05633263333333,False,8.0,757.3,768.9,76.0,7.0,0.0,10.0
2024-05-31 22:00:00,124.1,8.774833158333333,75.23299886666668,False,6.0,757.2,768.9,81.0,7.0,0.0,10.0
2024-05-31 23:00:00,175.9,8.172499858333333,77.6378317,False,5.0,756.4,768.1,81.0,12.0,3.0,10.0
2024-06-01 00:00:00,202.43333333333334,7.693333194999999,78.93516608333333,False,5.0,756.4,768.1,81.0,12.0,2.0,10.0
2024-06-01 01:00:00,181.81666666666666,7.169333268333333,80.70066596666668,False,5.0,756.4,768.1,81.0,12.0,3.0,10.0
2024-06-01 02:00:00,104.61666666666666,6.914499943333333,78.40716581666668,False,4.0,755.6,767.3,87.0,12.0,3.0,10.0
2024-06-01 03:00:00,51.233333333333334,7.141166553333333,74.0106658,False,4.0,755.6,767.3,87.0,17.0,3.0,10.0
2024-06-01 04:00:00,10.058333333333334,8.137249871666667,65.53008268333333,False,5.0,755.6,767.3,81.0,17.0,1.0,10.0
